word e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20 e21 e22 e23 e24 e25 e26 e27 e28 e29 e30 e31 e32 e33 e34 e35 e36 e37 e38 e39 e40 e41 e42 e43 e44 e45 e46 e47 e48 e49 e50 e51 e52 e53 e54 e55 e56 e57 e58 e59 e60 e61 e62 e63 e64 e65 e66 e67 e68 e69 e70 e71 e72 e73 e74 e75 e76 e77 e78 e79 e80 e81 e82 e83 e84 e85 e86 e87 e88 e89 e90 e91 e92 e93 e94 e95 e96 e97 e98 e99 e100 e101 e102 e103 e104 e105 e106 e107 e108 e109 e110 e111 e112 e113 e114 e115 e116 e117 e118 e119 e120 e121 e122 e123 e124 e125 e126 e127 e128 e129 e130
bread 0.30457430926878626 0.39033871079294086 0.4728120527696111 0.3794172795693227 0.47886124441146466 0.45894878083226914 0.4446793505509432 0.5568193196343596 0.6353781556005424 0.634140975219848 0.6338843419599732 0.5373412728389259 0.541645714129454 0.5544816769270928 0.5835065500461646 0.6562552918250716 0.5646410415870509 0.4887582272164692 0.4254254674401721 0.5168598226184166 0.5444280135719826 0.5502728102410742 0.582537702112977 0.5999323676009661 0.4617231568523309 0.6203862536289679 0.6433487505267819 0.6850026584826117 0.49637354596357186 0.5442192990920155 0.5748798588265989 0.40324035583882645 0.3896506426639858 0.3852106035722348 0.3831223124916956 0.6208671956805902 0.5892808145449041 0.5847326417648614 0.5846374737793101 0.589398944151278 0.5484889475261335 0.6264654520302808 0.5960739889411408 0.6181698955651886 0.6022453914055782 0.5361962380477245 0.5078581288489726 0.4961870585760413 0.4527873704345092 0.49888945390755524 0.4788759871844033 0.35567245355053545 0.3950692659663382 0.4602134654830951 0.47573591502721047 0.4674905447966088 0.46761431281087545 0.5495058223805714 0.5669853896845707 0.5936997633111212 0.5408585470697903 0.5199820777803796 0.6030878042257889 0.48978224627250333 0.33558317758968315 0.42184013737460724 0.6992397604059721 0.697045368377392 0.4844279492413157 0.4679953291874517 0.5951478413815544 0.4903017854749195 0.5019827057988665 0.4355955520052778 0.540694660477979 0.5494740705393012 0.5228903002377688 0.33853032888032736 0.4373698091837175 0.507243474090681 0.508549167396313 0.5940186757301578 0.6298900016153391 0.5902156805880615 0.3849063218905619 0.39134577058022374 0.253725219174531 0.5850101967193178 0.5232576326792475 0.43409539862492225 0.5948697532908626 0.573462622350211 0.5203974319987809 0.5473512938207544 0.4796920805472255 0.5610701061596908 0.4480071550730433 0.463286353733207 0.46815327703440535 0.4913254010629455 0.5833789532642915 0.6094487857885625 0.6555925598291777 0.46900927861268443 0.5300094259264151 0.5755303719325543 0.4526855493384468 0.3936195443290162 0.5016883526392576 0.3295874777538308 0.29555184373672 0.2695234959326581 0.3395463995361653 0.33584704192552456 0.3820825588050515 0.4700598963974342 0.5480542709690508 0.6092214923964718 0.4704644839513576 0.5007138046902949 0.5633314837755918 0.5710350675450997 0.4318281332094731 0.3420527522487178 0.4436823676419181 0.4177427953552987 0.5205751482571485 0.5038609567471035 0.5889406275683201 0.6433401393388015
ring 0.3772717094820496 0.5360304120546464 0.5716470685854298 0.46694413592350315 0.49497692772194124 0.44703440848589604 0.45505687342724704 0.5546542475869792 0.644727501232378 0.6557950680335591 0.6525938210208605 0.4768599362493779 0.48758578960205895 0.51464998105 0.44519058360485253 0.7331352955966318 0.6028606104462811 0.5602665426021338 0.4946449945675788 0.5245166663246046 0.506878025072854 0.4936642734478637 0.5930200021931565 0.6019869433758928 0.4659696145854557 0.5835433134809755 0.6077070654517281 0.6642506242071204 0.42345211852681836 0.5271000716357686 0.6766737907380997 0.5398117867855479 0.47196762683915555 0.4343991564634367 0.5914428003021884 0.7762464711761851 0.6264181374821163 0.6086912630171224 0.6252495901870168 0.6405676828848686 0.609779783836863 0.6929300547973798 0.702678237132686 0.7134327739725203 0.7485982739837789 0.5559880117819738 0.5460107344736306 0.5474055774910398 0.9240350419375106 0.37466389559680213 0.5876304637082393 0.3799880845427497 0.5236031999812768 0.3803844716615896 0.4615793658796694 0.45259179198134003 0.4796913235875477 0.5516798401319143 0.4347653124176641 0.48361776052706335 0.48805560999701053 0.4733596455995982 0.6212098260572293 0.5546557683448675 0.3815004444288339 0.4063503705141239 0.8384882914714151 0.8250486274778589 0.43743518331784986 0.32809300629522503 0.5248038888644501 0.4814465174779377 0.420476856578004 0.3628288127434972 0.5425878256486161 0.5320179356941275 0.47693147339702996 0.22598800565258123 0.38724710833477777 0.32812176319569936 0.4302524609588829 0.4862265897087964 0.4468271313561216 0.4424023208547712 0.37413451491654237 0.22612487858086458 0.14778720753512042 0.4608435028557299 0.48561690186725187 0.3514582350239973 0.4794054633375595 0.4421452204101829 0.3970592575053735 0.493529962647263 0.4177870386150219 0.4561562500179145 0.4414118952809732 0.4173998478822936 0.44032737003391975 0.473344838628384 0.5332690861331226 0.5578676442492867 0.5917518457048583 0.4174878511263826 0.501405007791659 0.5623545370964375 0.40026252229058956 0.415211419673079 0.4820894694072843 0.2738352869730115 0.38154441760634633 0.34387841014621123 0.37628267263111326 0.33296194710693056 0.43226913774167436 0.510446485389351 0.4922601586564944 0.5868637147059391 0.4695351597360343 0.5133473686931359 0.6068516560021253 0.5929938589900543 0.4403933048571405 0.4117608161898237 0.48525075031721904 0.37759475985899793 0.45290252568167344 0.4198940825099317 0.4700425996579481 0.5690465581817021
word 0.6627049260045065 0.5007180832106093 0.5806933976761038 0.4243424170137178 0.5557743731980345 0.7744421957188133 0.7384913282584399 0.6393096786102737 0.5775097965573054 0.5854933416423093 0.5974958658443335 0.6743809593402166 0.6981315878251885 0.6866000693431831 0.6377807392643703 0.5078193580729272 0.3972458360294894 0.5405951713306856 0.40462583664252894 0.4765319632214885 0.6948202156158457 0.6349862238834957 0.5667044876612767 0.555075453318218 0.6205434088076317 0.4692023932307366 0.43590684058610835 0.3787650527411648 0.5944058667756246 0.49322716838279124 0.36858918606157687 0.3045865957607046 0.5289788882848898 0.38193114558261343 0.4956482653942036 0.5621195333003111 0.6354774216536494 0.6799469535779656 0.6198309721788879 0.6225674526325476 0.6229327935040907 0.561979013836871 0.5120202857439914 0.48841290938328846 0.4266222673255292 0.6718141698206636 0.7089542178249533 0.7394477216279172 0.6438218365031779 0.5837439744217379 0.5059742640665637 0.564986550070034 0.5208101100301116 0.579663482255267 0.6130225870196925 0.5773816994622196 0.6810622709349383 0.6402971412447708 0.556607942830604 0.5583665287915037 0.6215655865314637 0.5759840341225364 0.4484577572713314 0.32446784253348443 0.7058446569683552 0.5119571954612611 0.20404140663403522 0.1774929221876918 0.4538678492298151 0.7484842615196426 0.6792364278760875 0.567002457047224 0.5160382100954116 0.6235760180051477 0.4747902601822315 0.630039599164197 0.7291784108890798 0.9973939113564825 0.9261030322802852 0.6540708712499034 0.5751552039355616 0.579338403561516 0.4542560879002705 0.7168269851560638 0.6411956884896624 0.5190397879399791 0.6071627969673217 0.7056453154357393 0.6998900270925767 0.5707962286349849 0.904320044263077 0.563365904028862 0.7061327035022118 0.5947796462482478 0.6687384863776057 0.5623921280445754 0.7050958056729029 0.539731975422802 0.7615011380806548 0.5494937656156393 0.5107718035107187 0.6266463570590016 0.6066551521708953 0.5635968540801575 0.47942668886684187 0.4692047779587477 0.7423170682220465 0.5219704562492687 0.5235703407167818 0.5555531685512797 0.6990531053673703 0.5335322134171756 0.5540045901097976 0.47642852719635626 0.4545765386634717 0.6248084347059986 0.6459149205985862 0.6659719273342205 0.6720877216124592 0.8575404330124188 0.5491249672777269 0.583540368695301 0.6109974560514726 0.6574033104978022 0.9316036364795155 0.8080484004053584 0.8082287110837562 0.8503716203464625 0.4732748294968136 0.5499347025607239
hair 0.44808001466673336 0.4190372573094521 0.5139370810157409 0.3665483105296707 0.5130674851800954 0.6511567490670256 0.6307574155260494 0.6086332774641036 0.5629986203488405 0.569381341103561 0.5833350641143027 0.5453238078247459 0.5771390891725098 0.5955521536795919 0.6141683741854357 0.5317517259795027 0.4893361440582382 0.5163716497236507 0.34786965444274226 0.42963919737381273 0.597906095935994 0.526607815002572 0.5195162095377097 0.5403108070552073 0.5684489189493761 0.533180222915834 0.5062155655609231 0.48323214969566447 0.5084614868822674 0.5166376859589048 0.42200249930948397 0.28412830294206826 0.4717964122695475 0.34152824907760926 0.38523932718028947 0.5676017327696306 0.6397076989682903 0.6831201545594229 0.6164057474043211 0.626794464777488 0.6002625983793638 0.6405769943450523 0.5528513793029796 0.557470879704454 0.4925768925857075 0.6306327462860611 0.6387176457420777 0.715285695851372 0.6412397812629571 0.5171123380896705 0.46942424705808106 0.46193298394233995 0.4864537530273246 0.601879112719929 0.5464867973146432 0.5759587608763267 0.6199929406029541 0.6460114232598607 0.6058707981366509 0.6283867260441516 0.5615338758360332 0.5244245168717121 0.5202592866560883 0.42590717566369946 0.5027666155200554 0.5073377089225235 0.44418845123366263 0.40145231443130797 0.5302208151918235 0.7489903238469333 0.6477376687812709 0.6215069863501886 0.5438287920067428 0.5395630236746887 0.5528699891582927 0.6097610923693153 0.6257895540214226 0.7750155066615944 0.7684258057159212 0.7122941103270178 0.6179179483110091 0.6263307039274729 0.5725575917431156 0.704579922319577 0.5174954482640807 0.44323044678234036 0.5306894762203932 0.7592702628402601 0.6515767641743222 0.5360584303897442 0.805125415222465 0.6289299935653793 0.727148291199986 0.6215528887433786 0.6089825184618501 0.5783457719042322 0.5060162159466625 0.5204895057734035 0.6406119794827673 0.552441825857503 0.5987478016427575 0.6431246317668771 0.685578029552391 0.5387239017955573 0.5151127974696917 0.5504737527447822 0.6500855334740959 0.4979290535558835 0.5378575768737601 0.4772053486520315 0.5515484091618085 0.43740193619163764 0.5107187296088712 0.44505921220496947 0.4615072744043662 0.6169930226020911 0.627154736072481 0.6637436052093234 0.6114771302013016 0.6787722765329602 0.48356892303011334 0.5705022179456136 0.593955082519772 0.6078533508096841 0.7379089325409778 0.602867513124878 0.6434221675571173 0.6560432980039481 0.47253915727734785 0.6162129788591265
leg 0.4355101984357987 0.5081014364728845 0.5493505592935104 0.4172530156193831 0.45513301220672914 0.42843018464551186 0.39879264314918905 0.45279884948985305 0.439869567171242 0.478588646440998 0.4780821058255959 0.46635840809526696 0.41919246570683666 0.42613663970657284 0.39345065218675535 0.44921540718756653 0.43287143171714465 0.49727756457852834 0.4061442633673669 0.4707162246310861 0.5296758731933053 0.4837563752447221 0.4464040145367217 0.45031741437473427 0.38755060030009847 0.45056972237646536 0.4593486546990023 0.41721063500303335 0.5544384534211868 0.5986369746230457 0.40873449470955275 0.33966311725784054 0.5445207540458442 0.47629354755986936 0.4029237018254793 0.5714907725218922 0.5048763473702181 0.5566641739696677 0.4685382997809059 0.47268511074410097 0.4266460467626951 0.4845950883443813 0.4736605200117155 0.4963396498446114 0.537125452811247 0.5043843982317917 0.4946519742104793 0.5046375707543843 0.3976847436145426 0.4588646680465551 0.49062719151783707 0.49070155757715783 0.3817462398764751 0.5154506937037785 0.47309138683866414 0.5298429407930274 0.4522972530785608 0.5494157689638259 0.5984193743063257 0.579169310156982 0.520788441745123 0.5203874292222342 0.5741696047793955 0.49494763524272967 0.5643094842784362 0.5570422532400152 0.6133751754503167 0.5226003724975816 0.45616422188624406 0.5364972109101839 0.6338749842483151 0.5080862688252383 0.5356966562146966 0.47349746071025395 0.6668164644144392 0.5445644077637798 0.5646468318667229 0.4793667375522553 0.5604285233821807 0.5578006387341593 0.48274084882402546 0.5489400726499095 0.5882071254127708 0.6243203126290614 0.4229803536454822 0.49401244124382593 0.42046591127191446 0.5854550723516063 0.5628535992777709 0.45738885989514316 0.6799234278708708 0.5160471975771226 0.5317998884830958 0.5289970758202288 0.48245167332237476 0.45198741052560376 0.5630365065809609 0.5581890634402303 0.4860460459625544 0.4360838836927507 0.5074676702520462 0.5118319572659684 0.5511480406773888 0.4304868182989213 0.4638023894145691 0.4710997957464576 0.4457804528812996 0.3329730559373129 0.42737148372884587 0.4041679631501679 0.3770856708190476 0.3250712965659491 0.3210442622738115 0.3529565651191141 0.32729608913469416 0.3110636511199431 0.45575303562898695 0.5146716461657421 0.4362833649350262 0.4235106646283822 0.43236747969220907 0.488020309110454 0.3448436479160017 0.3096943297766882 0.39934691259432076 0.41030382982038266 0.4417959280116286 0.4630553465209619 0.3689911210976584 0.5793653175131916
hand 0.25007864761813836 0.30026346762378053 0.45178069442984303 0.4190870166877114 0.5395059836096776 0.6552942891690718 0.5559540898332888 0.6111238805694015 0.6612442728000362 0.6479101975600259 0.6296811139785595 0.7830524768648351 0.6324605313474355 0.6134616340845728 0.5893702316803566 0.6928446351926721 0.7001276266291802 0.569436396549162 0.5680626225190657 0.768909054429621 0.6360519625296419 0.7092396049191275 0.6341871225575775 0.6578377219429136 0.5057174061902016 0.5743799146344515 0.5928348830910122 0.6102551691835788 0.796147132512839 0.8174269697540828 0.7360580477355984 0.5618485622556131 0.3282976177429614 0.353352310582267 0.6371266765537922 0.8664128657857102 0.6536971409033605 0.6949860249821542 0.546251650794631 0.5400282594338978 0.5022417652635491 0.7429086585747973 0.6283834596580014 0.6579363137899482 0.6290700164984069 0.7200769576086893 0.6699416254858568 0.7220599017135403 0.13469803861260427 0.9661570247475955 0.562336183288302 0.4152811499053184 0.4579210447665973 0.6242386842819977 0.6452395482596062 0.594876655880266 0.66753875041354 0.714445118301356 0.7061145673939775 0.7457458813630604 0.594415605855719 0.685249344699189 0.6326829589922943 0.45397638816107927 0.32638925967900284 0.3133703961666626 0.5556623959364464 0.5501432498642749 0.4629221052152106 0.48538489155737646 0.6683527900498872 0.4153051723503287 0.6054184793323315 0.6134346080101569 0.46560003099048297 0.6782117907113091 0.605476486908229 0.3774336501406296 0.460241063994002 0.5584186860094219 0.5734343484270351 0.5754383411162662 0.8283160121423158 0.667424515201136 0.2808660732745841 0.38282138237121394 0.221768170633546 0.5812968163549775 0.6037724870608959 0.49944881861236884 0.6896457055821911 0.45381165854889216 0.38086100640951304 0.5211859906459958 0.4649348183362621 0.5731271506913264 0.4763225442227496 0.5490993488496698 0.6319637113911184 0.5321792237228441 0.47711540312069534 0.5049117162663169 0.5717230570737801 0.49622057009154125 0.5106162364471356 0.5663226948799742 0.5500091644032895 0.3771884027333882 0.5349356821059397 0.37449184085987136 0.19158566075591485 0.23944908366657275 0.3644544380304309 0.38295868488389234 0.4407664342595713 0.5013466194398677 0.613981289999906 0.6641463553378145 0.5630701129311939 0.5729735907172679 0.6367976865124949 0.6260717419214106 0.4717780370480738 0.3772995477002803 0.49878229164453697 0.559569757241036 0.6965405077907388 0.644144686086742 0.649668672847427 0.7771072237243603
grades 0.40654030279513087 0.5086344707182273 0.5520002803969644 0.37713981206319797 0.3957883397622414 0.46871890475224315 0.43782376827413505 0.5237627300258694 0.5764216158706882 0.5440110568116758 0.5489646713752926 0.5199702905248301 0.5745908626867602 0.5818071307753325 0.6232471246267964 0.5530882751814362 0.32743996751515764 0.42818958107291094 0.30100347263170996 0.32619433913258256 0.4770325181252035 0.5124460444467395 0.46706859072599916 0.4776004302558961 0.5208286688314913 0.5590770128092534 0.5698309352077765 0.5884757398686257 0.5209177416429762 0.46358086977390206 0.38191399105101054 0.2770099563772506 0.4484610229153413 0.3905434953021494 0.36024393833362967 0.5570877598780613 0.6440479908071034 0.6263394619609511 0.6446084353374998 0.6111809381840406 0.5553799914804309 0.5731204741134581 0.5926794148790728 0.6208188615793848 0.5329549292262131 0.5753698272224724 0.568533088773239 0.5151875774346105 0.27614421976898523 0.5470434817896361 0.43055420699337454 0.45459266300751705 0.45045234338888424 0.5720973318282842 0.5100096920034798 0.5600251175625571 0.5542267287918611 0.5193052818084362 0.5783205445637956 0.6184215498582194 0.6095056917950505 0.5846012372507654 0.5787398946007267 0.5189967758460396 0.4184320618367912 0.5338518972054248 0.5808576907804072 0.5403675637128026 0.552250793570112 0.6201858862895473 0.5460959177844159 0.4780363219843063 0.4547809845491564 0.3947748526893045 0.5675100584000803 0.5746489674317764 0.5610501103943232 0.6226466915433633 0.5309069960024908 0.5704707511947269 0.3693386401366848 0.4880191797889794 0.45267700712346826 0.5748409247142823 0.403904733389074 0.4641420183635944 0.43304732149441355 0.5846986116919618 0.5107093455141433 0.46579781592507086 0.7632623943274651 0.6233789979321533 0.541998742812324 0.4834455969885875 0.5255182409038318 0.5753917780198009 0.5795560329280995 0.49601766157548977 0.4676947129667416 0.485369497258789 0.5572065494859333 0.5562664550894649 0.5603449227235193 0.47422797119092913 0.4777827241422572 0.4610809492049114 0.5912769294342309 0.41311876073614084 0.5230204384324622 0.43220438084929963 0.41872028433058517 0.3684638293711253 0.3858330700187677 0.36851487268977334 0.3127820210993067 0.37415540284721843 0.4722337285373688 0.5531437062865484 0.44165981701352186 0.523000816681342 0.48384810265522693 0.48006270604896767 0.4552620720903804 0.3546282316444698 0.4737696294379284 0.4342662214175671 0.5868522767228429 0.5810045546691474 0.6006065512637482 0.5781969554547882
rose 0.5023744623060366 0.4718780762198412 0.5920934903596613 0.432733883087082 0.427300131957644 0.5067137835726293 0.47216685623340393 0.5016752283513922 0.4879362834638921 0.48828349290532175 0.48849833631516093 0.3518058287536986 0.35514813808684187 0.40075995759158467 0.4150391910950589 0.47995312365816767 0.36676633348797744 0.4404528601425364 0.3925437200857212 0.3670493308912462 0.5242730857333165 0.4642767600870708 0.475454516671641 0.45060221994639077 0.20529174830894167 0.3432114959084508 0.39590768415958677 0.4166684999142478 0.39231084018947954 0.34878319666748636 0.4255421847666111 0.38230710578037785 0.5843998711531341 0.5282914737597724 0.479450611710248 0.6239517004985152 0.5072935205096376 0.6342183727317204 0.4666815777550826 0.4193333910617322 0.36506156997698824 0.4526604090681551 0.49833817240174444 0.5040319154801481 0.4150509931884933 0.4691111330671034 0.44647747915895375 0.4653791775272209 0.6131260720597841 0.40319712313153444 0.5272186841413345 0.5896011812237026 0.5579468967175798 0.457860773198063 0.537003532177765 0.455500291612022 0.3269592628331893 0.543801061506314 0.46243135200790375 0.5484408569992238 0.5281583974145192 0.45832757306055927 0.6115306128014705 0.6272604648301399 0.4964984123318096 0.4735118032768194 0.5598654127980248 0.5914660549964836 0.4011460633876069 0.4695364230034002 0.6699845412262754 0.6157857269574618 0.5422450956083997 0.522095397891019 0.4908757386013038 0.5892140207571598 0.6098682360956651 0.5055824930159429 0.6409811716686356 0.576689436024849 0.6489990845237439 0.7154156806942841 0.6689597974193625 0.6813750515402746 0.6026363142571824 0.38445407894167055 0.31239117437973724 0.5887365904118149 0.5676397824541645 0.4898244827381637 0.5378158961729064 0.5382480381574432 0.5769435601581479 0.49627874911106135 0.4877823063275133 0.45213807118243693 0.5853683727583172 0.4019814250430939 0.5239828123012982 0.4526095930560537 0.4997956419586238 0.4372112741429012 0.5149455796219412 0.3202103229954241 0.42907471160957183 0.45633457060165955 0.3720216819299821 0.35307341202193365 0.3756398506042887 0.3594581785814633 0.46877216889685075 0.38003044367818184 0.38329433687996844 0.32429714329930953 0.34945531280381453 0.515699062855498 0.33186080372438775 0.5071574879779112 0.41895641150601287 0.5175623514802029 0.44792206824243397 0.4820366789648208 0.42733112002502815 0.4028893677934165 0.5488945414195987 0.3487592095139783 0.3992962162130256 0.4198336359680324 0.4118496070965318 0.4204316087992733
student 0.3151734242067681 0.43044218641957505 0.5108289418405642 0.3705678439635132 0.4948634491904834 0.5662951852270486 0.551788199703354 0.5793807905090286 0.6104315984539188 0.574009665990039 0.5749799424175747 0.5634288915155409 0.5188878649444881 0.5304465895259131 0.5621127292134374 0.5549602781087206 0.4862648209164989 0.5189452594219536 0.36137254832541565 0.46744362522549554 0.47925565715702334 0.48056020141082184 0.42642855960416715 0.46379506636956735 0.4775503812973893 0.5426433533040796 0.4881867029066074 0.39206463461843444 0.35225692230370276 0.4244104412288849 0.32703210954261014 0.19862139123961553 0.3606342582588136 0.2880334808154972 0.10234005153342356 0.3023936552867574 0.4465318845839525 0.3025783115065605 0.377382156726421 0.5206248703268755 0.6748816785205665 0.5284691583907534 0.3994915608520144 0.41052971958267 0.335740126939085 0.41234830557841806 0.4198037924387028 0.41591687350472883 0.17999924478090476 0.31126486760495775 0.20433107830902011 0.2704630453401747 0.18698625872566343 0.4183729646833477 0.35453876840143544 0.3539752043553312 0.3741886255888186 0.36509625939944773 0.40702386691472175 0.49648507478825044 0.3653876559917507 0.38895777532276815 0.3767493378906541 0.14784068322370258 0.3370897725708381 0.4427495814281155 0.5897817936765116 0.40874013126060366 0.4009003153710979 0.4103737160626666 0.48933072760829394 0.1662894938271457 0.2595362185049156 0.2440222542606186 0.4887171551692232 0.31149150707348466 0.3735138513408493 0.32793066419937045 0.32532506468833894 0.3478297055054997 0.30831760839225425 0.3737391652667912 0.40023141428027603 0.4938734395897411 0.3091334287287347 0.23618366644261019 0.14741941103643275 0.6281558722706427 0.387605061185093 0.3317525833655622 0.0 0.3941903406657179 0.37883558092422315 0.41650376813574036 0.44617667892336427 0.47442627012606625 0.38477135946773494 0.5371227098237272 0.42864849797268434 0.3849934015759381 0.4142850331769075 0.6243107392238981 0.2912080148646133 0.5169286200107202 0.4546757836229894 0.46148991149194724 0.47895313550801594 0.38024201780531897 0.4439468346291689 0.38714253032870777 0.4783870566139848 0.33013258239032833 0.23943387686656653 0.3889760190777334 0.4895135653945763 0.13563773008475724 0.6197508795667702 0.5487069831877126 0.43457249284629207 0.5589836109096501 0.439074464156894 0.48284035851124535 0.39188404494520473 0.22748038800304365 0.3552976548000023 0.48731557014492877 0.5417095139864653 0.5595009988806917 0.7055761021162482 0.7233725252830393
rang 0.420842459914114 0.4783045127627204 0.6256346165232911 0.5790474969299069 0.6550588487659849 0.7211042364188945 0.6728388256596082 0.7687664761251896 0.8164740148535261 0.7186292706472649 0.7096371418334753 0.6232716487036145 0.666649580639679 0.6149128563629481 0.7174624538347666 0.8712794284385964 0.7210276051948064 0.6531846128087322 0.6653364404351148 0.816392686760571 0.7573998506526707 0.7685292826773293 0.7186434477718499 0.7765651364551159 0.610571265568442 0.659340478030846 0.6537789856453419 0.7184175357628296 0.7808696285939767 0.8792526661849837 0.803618744273211 0.6594611424419223 0.36336055978795334 0.44976577019730785 0.6553575064583218 0.9075163231682877 0.8723368002287598 0.818954940822918 0.7323817712616849 0.7230638986131297 0.647793100811049 0.7893086906777319 0.7193184158283897 0.7603412993153297 0.7694395606179303 0.6360887539723143 0.5993267711982428 0.7494589224172628 0.6750348788970191 0.6477533769280702 0.6661135287041342 0.37967361226669716 0.5390630900216772 0.6427341820362635 0.5013935843611266 0.6004120085054094 0.6456845101762302 0.8130612500432269 0.6727126299533931 0.6001216917942808 0.47437870436937274 0.514923126939461 0.6215619323502238 0.6697374715633544 0.5226952893305356 0.46964861777221695 0.619391224827769 0.6263744277376799 0.6141346694102376 0.6579812051631215 0.43170490621270274 0.379482714688693 0.4845305206362434 0.4280598063166735 0.7279918964591499 0.7383162752340332 0.6271807623201631 0.46647555132162283 0.49679783687925727 0.3940122424422545 0.33024253620098876 0.4825894000783117 0.43331716313198937 0.5462633174506688 0.3614900554071416 0.597261928644991 0.5676481203851884 0.708011128661246 0.7480305137236725 0.5702526327277931 1.0 0.5064529508064975 0.5189048357575253 0.4856938971586418 0.4699003757540846 0.5351921398826409 0.6887094592655809 0.634472235781722 0.6086345611241015 0.5585008154321052 0.5192839376253126 0.44921861477463043 0.554913983303162 0.5005629024871812 0.43395805132590265 0.4507263228966085 0.48589064655322584 0.34442081266027325 0.4901029329314515 0.46545910544978913 0.3916383831472254 0.46232708532067035 0.5754737150894458 0.4081741980440919 0.33747843715336107 0.48152759136241674 0.6563305812248293 0.6131293774182942 0.5553776544166575 0.5382649833443585 0.5734406510404451 0.5924569754101753 0.5209960325664914 0.5285591709227839 0.5844166772486824 0.5866447777546541 0.7138529490493021 0.6393453375045467 0.40640145761768887 0.5872399105893419
