word First_fix_dur First_pass_dur Mean_fix_dur Fix_prob Re-read_prob Tot_fix_dur Tot_regres_from_dur Tot_regres_to_dur nFix nLong_regres_from nLong_regres_to nRefix nRegres_from nRegres_to
are 0.2408035191965137 0.0339966932806784 0.24268956297687164 0.46317365269461075 0.06347305389221558 0.07789150853690194 0.041557166949908325 0.04905943550875909 0.10561230480216041 0.02095808383233533 0.023453093812375245 0.010824504836480887 0.05743059335873707 0.062353553762041145
tourists 0.3995609220636664 0.08375598154674921 0.3996140188358809 0.8 0.19999999999999998 0.15660819617237207 0.08468565933405456 0.09824286367496245 0.22875816993464054 0.0 0.05555555555555556 0.06837606837606838 0.13636363636363635 0.11594202898550725
enticed 0.6234906695938529 0.12443049944124474 0.6487725798981009 1.0 0.4 0.24619426628544938 0.16372160115398485 0.09621791103272585 0.27450980392156865 0.0 0.33333333333333337 0.025641025641025644 0.18181818181818182 0.13043478260869565
by 0.17472236873993188 0.023242023456929328 0.17667729368053592 0.3281385281385281 0.03333333333333334 0.05451247101815065 0.027283030708923246 0.03604110306050342 0.07198030727442492 0.01038961038961039 0.00937950937950938 0.004551004551004552 0.0379771743408107 0.04517221908526257
these 0.35504630416969435 0.05641672609368927 0.3553716835519835 0.6661971830985915 0.16056338028169012 0.12609666188149687 0.06509449774739312 0.0784901452611416 0.16929025131179237 0.04225352112676056 0.03990610328638498 0.02600216684723727 0.09346991037131881 0.10042865890998162
attractions 0.5845225027442371 0.1804349694833663 0.5618110236220472 1.0 0.8 0.36280040182366124 0.23530472412549586 0.2598471487360376 0.4313725490196079 0.0 0.0 0.1794871794871795 0.3181818181818181 0.2173913043478261
threatening 0.5186608122941823 0.11283990945299291 0.510418403581905 0.8666666666666666 0.4333333333333333 0.2439790845632744 0.1789878591176824 0.1748644588150761 0.30718954248366015 0.0 0.11111111111111112 0.1111111111111111 0.22727272727272727 0.20289855072463767
their 0.3762452623076445 0.06015276158099357 0.3788289258653989 0.6943396226415094 0.1429245283018868 0.1293767213463717 0.05668372241765269 0.0732319871034057 0.1694413614502405 0.03207547169811321 0.02437106918238994 0.02467343976777939 0.07718696397941681 0.08716160787530763
very 0.31311173618733995 0.04571495601593168 0.315923073953991 0.5875000000000001 0.09375 0.10558013291090332 0.045239061185238606 0.06770118884316415 0.13848039215686275 0.0125 0.03125000000000001 0.013888888888888888 0.0606060606060606 0.07880434782608699
existence 0.6335528723015001 0.14487521132410672 0.6299166280685501 1.0 0.5 0.3282590217139325 0.16245943021997836 0.07472728460382783 0.37254901960784315 0.26666666666666666 0.05555555555555556 0.15384615384615385 0.22727272727272727 0.07246376811594203
