word nFixations FFD GD GPT TRT
presents 0.39285714285714285 0.2505643340857788 0.31018078020932444 0.14685314685314685 0.5605762933857237
a 0.024858401510383887 0.03498374121180179 0.02970110278861751 0.017886732143840674 0.02293326101778366
good 0.1168831168831169 0.12328134619331009 0.1226537496756336 0.06419407039241751 0.12686789307614454
case 0.07142857142857142 0.13544018058690746 0.11417697431018078 0.03814367450731087 0.07858546168958742
while 0.07142857142857142 0.09122583177936991 0.08468125594671741 0.03587716631194892 0.07701944705446884
failing 0.09523809523809523 0.1038374717832957 0.08753568030447194 0.029243483788938335 0.09255621043440297
to 0.027139874739039668 0.038690462164875095 0.03296989247739006 0.018856831155179988 0.025959999070318127
provide 0.42857142857142855 0.2381489841986456 0.23168411037107517 0.3010171646535283 0.3857236411263916
reason 0.21428571428571427 0.15011286681715574 0.16412940057088488 0.2121741894469167 0.15749836280288146
for 0.03962818003913894 0.049792819815083954 0.04252961954042465 0.016979595746719034 0.03727875411542016
us 0.044642857142857144 0.06913092550790068 0.05827783063748811 0.023800063572790846 0.043835952848722985
care 0.08571428571428572 0.08848758465011287 0.07459562321598479 0.10012714558169103 0.08461034708578913
beyond 0.13095238095238096 0.14390519187358916 0.17507136060894388 0.08889595253231618 0.14079895219384414
the 0.034894613583138175 0.04328442437923251 0.03712077490602237 0.01850619574166519 0.03028599954909981
very 0.08163265306122448 0.09674298613350531 0.08155498165012913 0.11431750068113705 0.08045654411076808
basic 0.2857142857142857 0.172686230248307 0.1455756422454805 0.04863318499682136 0.466928618205632
dictums 0.2857142857142857 0.24943566591422123 0.2978116079923882 0.11951684678957407 0.29404060248853964
of 0.025034770514603618 0.033384403344248505 0.028210764236722693 0.016397624375877 0.022143831068581935
human 0.05357142857142857 0.06038374717832957 0.05875356803044719 0.01962809917355372 0.04043876882776686
decency 0.10714285714285714 0.18340857787810383 0.15461465271170313 0.17768595041322313 0.10641781270464964
beautifully 0.14285714285714285 0.14660145472786557 0.13151495929802307 0.09189800098891007 0.13010259768609472
crafted 0.21428571428571427 0.2325056433408578 0.19600380589914368 0.1010807374443738 0.20497707924034053
engaging 0.14285714285714285 0.14205095130603032 0.17724616011961397 0.0592135137589683 0.15006081017868836
filmmaking 0.14285714285714285 0.27878103837471785 0.23501427212178877 0.10203432930705658 0.16175507531106745
that 0.04452690166975881 0.054381284629591624 0.0464678043174713 0.023897590013292495 0.039156652123253304
should 0.10317460317460317 0.14064459493353398 0.125806110582514 0.06267217630853994 0.10106963545077495
attract 0.07142857142857142 0.17381489841986456 0.14652711703139867 0.04895104895104895 0.1008513425016372
upscale 0.14285714285714285 0.21670428893905191 0.18268315889628925 0.06102987921169739 0.22069417157825802
audiences 0.14285714285714285 0.1636568848758465 0.1379638439581351 0.08979656706929434 0.137524557956778
hungry 0.21428571428571427 0.26297968397291194 0.30256898192197906 0.1010807374443738 0.2082514734774067
quality 0.21428571428571427 0.24153498871331827 0.28163653663177923 0.09408773045136681 0.19384413883431564
and 0.03502747252747253 0.04859164537494109 0.04193677397768739 0.023649864121892093 0.03187496851544003
nostalgic 0.2857142857142857 0.21896162528216703 0.1845861084681256 0.21646535282898918 0.26129666011787817
twisty 0.07142857142857142 0.1252821670428894 0.10561370123691723 0.035282898919262555 0.07269155206286837
yarn 0.07142857142857142 0.18510158013544017 0.1560418648905804 0.052129688493324854 0.10740013097576949
will 0.06326530612244897 0.06746210899709772 0.059806986543428024 0.023621832712741805 0.05519693142482927
keep 0.09999999999999999 0.12900677200902935 0.13967649857278783 0.07056579783852511 0.11480026195153897
them 0.047619047619047616 0.0764986205166792 0.06448884660112061 0.02154411245320336 0.04438623299134104
guessing 0.21428571428571427 0.2618510158013544 0.22074215033301617 0.26128417037507945 0.22069417157825802
bread 0.2857142857142857 0.42776523702031605 0.42721217887725976 0.14272091544818818 0.36804191224623445
my 0.06043956043956044 0.06450772703594373 0.058405913781746324 0.03273998728544183 0.04700015112588787
sweet 0.14285714285714285 0.3871331828442438 0.3263558515699334 0.10902733630006357 0.2246234446627374
has 0.049865229110512124 0.06175731504748925 0.052061827908730235 0.023318019887488155 0.04089903745165635
so 0.06349206349206349 0.07419948164869158 0.06519364273883779 0.04345317981681618 0.05532513522035461
many 0.09285714285714286 0.12945823927765238 0.11817316841103712 0.04688493324856961 0.09148657498362803
flaws 0.14285714285714285 0.12076749435665914 0.10180780209324453 0.03401144310235219 0.07007203667321546
it 0.024234693877551023 0.031935262818445664 0.026921639255131167 0.013148783035146673 0.02010828889512583
would 0.05042016806722689 0.08312309122294516 0.07007331952762075 0.041004450095359184 0.051619862090219196
