word v0 v1 v2 v3 v4 v5 v6 v7 v8 v9 v10 v11 v12 v13 v14 v15 v16 v17 v18 v19 v20 v21 v22 v23 v24 v25 v26 v27 v28 v29 v30 v31 v32 v33 v34 v35 v36 v37 v38 v39 v40 v41 v42 v43 v44 v45 v46 v47 v48 v49 v50 v51 v52 v53 v54 v55 v56 v57 v58 v59 v60 v61 v62 v63 v64 v65 v66 v67 v68 v69 v70 v71 v72 v73 v74 v75 v76 v77 v78 v79 v80 v81 v82 v83 v84 v85 v86 v87 v88 v89 v90 v91 v92 v93 v94 v95 v96 v97 v98 v99
harry 0.4401848029096628 0.660883384121367 0.22685867820046526 0.4032569874504407 0.6117500573413284 0.6666994331400111 0.639863691470887 0.6732035780988892 0.6236279039287 0.5848487827255153 0.11963039418067432 0.5699891870637963 0.5751662898522232 0.670008846947803 0.6060159245060454 0.5615518201775943 0.8207018578590386 0.38367901962711753 0.7968150987909172 0.7749926275434974 0.5552442740587831 0.7727153576460566 0.7579049116943543 0.6101608833841214 0.6363249123496838 0.5674170189062551 0.5262295619122513 0.7610832596087682 0.7307415052917854 0.6991710082243848 0.290720534748845 0.6997771879812575 0.5724139060912874 0.8202267439955436 0.5989055997902945 0.7033815000491497 0.605442511222517 0.17646384219666436 0.7345915659097612 0.7399652675382549 0.7485009338444903 0.5892067236803302 0.5481994822897212 0.5802287099839445 0.6453356925194141 0.6345882892624267 0.653691143222255 0.4329597955372063 0.6631934204921525 0.7617713555490022 0.6270520003931976 0.787411120941053 0.6246272813657066 0.6832792686523149 0.5744290442019725 0.6877682755005078 0.6727448474720665 0.5515580458075298 1.0 0.47829221140928596 0.28795176775123693 0.7496805268848914 0.8891346374389725 0.6491529866640454 0.7969297814476228 0.6817883941151414 0.605229529145778 0.4098921983026967 0.7435531963694748 0.7012680625184312 0.7073790097971755 0.664897277106065 0.6295422523673777 0.8801566237425865 0.6758904289131361 0.5552115075854386 0.7293489301746452 0.7770405321275271 0.5981683541400439 0.7558406238736525 0.6135030636652578 0.6789213276974998 0.544185589305023 0.6778891837871489 0.4366460237884596 0.7371801173039746 0.6105213145909105 0.17213866771519382 0.33493889052721254 0.6723516497919328 0.53581375536551 0.5866673219961335 0.6684688227006127 0.5104033552868705 0.46708607752547593 0.6651102591828041 0.6797241062944395 0.7676037878043186 0.6433533208820734 0.6322454864182967
had 0.44432326316937504 0.6596684480314102 0.22805104155305922 0.4020340277020395 0.6116533973170466 0.6616861162613153 0.6344748609444869 0.6718017231977316 0.6178699967281056 0.5846602682953431 0.12313229359799324 0.5678645435707275 0.5735630930308648 0.6701657759842949 0.6011560693641619 0.5653288253899008 0.8181099356527429 0.38248445850147234 0.8016686661577053 0.7739666266768459 0.5509597556985495 0.7719762242338315 0.7498909368524377 0.6031464718071764 0.6305213218453485 0.5656832806194786 0.5224670083978624 0.747846002835642 0.7231977314865308 0.6963681971861708 0.28844475951575965 0.6987130548587632 0.5706456538335697 0.8198822118006326 0.5966299487403206 0.6991493074490129 0.5969298723961174 0.1758097938706511 0.7320591122259789 0.7428290980477698 0.7448195004907842 0.5883138837386847 0.551205147780565 0.5770258479659723 0.6368197186170793 0.6319118769767695 0.653260988112117 0.43303522739666267 0.6586868797033483 0.7608245173955721 0.6223961173519468 0.788417493728869 0.6216599411059003 0.68022685134693 0.572581524702803 0.6935870869233287 0.6640037081470171 0.549596466354019 1.0 0.48099574653724503 0.2831551968589814 0.7392845457519904 0.8815846875340823 0.6447813283891374 0.7928345512051479 0.6770640200676191 0.598347693314429 0.4122586977860181 0.7339131857345402 0.6956592867270149 0.7040026175155415 0.6632675319009707 0.6257498091394917 0.8755044170574763 0.6782364489039154 0.5545043079943287 0.727778383684153 0.7754662449558294 0.5952121278220089 0.7535172865088886 0.606663758316065 0.6785363725597121 0.5434071327298506 0.680008725051805 0.4398789399062057 0.733095212127822 0.6095811975133602 0.17281055731268405 0.3339786236230778 0.6696204602464828 0.5286836078089214 0.5807067291962047 0.6665121605409532 0.5092431017559167 0.46310939033700516 0.6617951794088777 0.6853800850692551 0.767259243101756 0.6352928345512051 0.628040135238303
never 0.4442114093959732 0.6568791946308724 0.22776845637583892 0.40503355704697985 0.6041107382550336 0.6666946308724832 0.6350671140939597 0.672734899328859 0.6156879194630873 0.585486577181208 0.12894295302013423 0.5630033557046981 0.5741610738255034 0.6666946308724832 0.5989093959731544 0.5713926174496644 0.8205536912751678 0.38733221476510066 0.8035234899328859 0.7748322147651007 0.5498322147651007 0.7681208053691275 0.7511744966442953 0.6047818791946309 0.6332214765100671 0.564010067114094 0.521476510067114 0.7458892617449664 0.7221476510067114 0.6966442953020133 0.2884228187919463 0.6953859060402685 0.5710570469798658 0.8226510067114093 0.5967281879194631 0.6984060402684563 0.5975671140939597 0.18313758389261747 0.7324664429530202 0.7486577181208054 0.7442953020134229 0.588255033557047 0.5545302013422819 0.5791107382550336 0.636996644295302 0.6301174496644295 0.6541107382550335 0.43246644295302017 0.6630033557046979 0.7651006711409396 0.6208053691275168 0.7864093959731544 0.6194630872483221 0.6776006711409396 0.5705536912751679 0.69001677852349 0.6707214765100671 0.5495805369127517 1.0 0.48204697986577183 0.28397651006711405 0.735738255033557 0.8849832214765101 0.642030201342282 0.7893456375838925 0.6768456375838927 0.6029362416107382 0.4146812080536913 0.7327181208053691 0.6951342281879195 0.7005872483221476 0.6631711409395974 0.6255033557046981 0.8772651006711409 0.6810402684563759 0.5536073825503356 0.7260906040268456 0.7744966442953021 0.5947986577181208 0.7483221476510068 0.6083053691275168 0.6782718120805369 0.5421979865771812 0.6788590604026846 0.4443791946308725 0.7375 0.6111577181208053 0.17298657718120805 0.33993288590604026 0.6665268456375839 0.5279362416107383 0.5822147651006712 0.6659395973154363 0.5080536912751679 0.4705536912751678 0.6608221476510067 0.6779362416107383 0.768036912751678 0.636744966442953 0.6281879194630873
believed 0.47413793103448276 0.6487068965517241 0.2025862068965517 0.41594827586206895 0.6088362068965517 0.6433189655172413 0.6336206896551724 0.6875 0.584051724137931 0.5905172413793104 0.15301724137931033 0.5452586206896551 0.5732758620689655 0.6875 0.5915948275862069 0.6002155172413793 0.8071120689655172 0.3900862068965517 0.7855603448275862 0.78125 0.5355603448275862 0.7446120689655172 0.7316810344827587 0.5926724137931034 0.6282327586206896 0.5592672413793104 0.509698275862069 0.6842672413793104 0.7036637931034483 0.677801724137931 0.28125 0.6702586206896551 0.5603448275862069 0.8318965517241379 0.5862068965517241 0.6842672413793104 0.5818965517241379 0.20581896551724138 0.728448275862069 0.7650862068965517 0.7413793103448276 0.59375 0.5786637931034483 0.5818965517241379 0.6422413793103449 0.6314655172413793 0.634698275862069 0.4353448275862069 0.6368534482758621 0.7780172413793104 0.6206896551724138 0.7941810344827587 0.6045258620689655 0.6627155172413793 0.5625 0.6487068965517241 0.6584051724137931 0.5441810344827587 1.0 0.5053879310344828 0.2995689655172414 0.7122844827586207 0.8793103448275862 0.6918103448275862 0.7877155172413793 0.6573275862068966 0.6045258620689655 0.4191810344827586 0.697198275862069 0.6734913793103449 0.7036637931034483 0.6756465517241379 0.6099137931034483 0.8933189655172413 0.709051724137931 0.5474137931034483 0.7047413793103449 0.7790948275862069 0.5905172413793104 0.7349137931034483 0.5915948275862069 0.6842672413793104 0.5377155172413793 0.6950431034482759 0.4396551724137931 0.7607758620689655 0.6185344827586207 0.1627155172413793 0.35344827586206895 0.6584051724137931 0.4827586206896552 0.5560344827586207 0.6605603448275862 0.5086206896551724 0.44288793103448276 0.6540948275862069 0.6745689655172413 0.7737068965517241 0.6099137931034483 0.6142241379310345
he 0.4417146456877481 0.662857645145695 0.2236042133638055 0.40283332600829197 0.6107180005567032 0.6644545041679486 0.6417761760353946 0.6776981789947113 0.6226285178511258 0.5875269195270953 0.12183008833999912 0.573228438740679 0.5755138516532619 0.6703584875254546 0.6062790254764939 0.567295155217627 0.8210638890109729 0.38088750201438637 0.7895222608007735 0.7763371863051025 0.5542712316324587 0.768938894504754 0.7586252362325848 0.6084472377268931 0.637981804597196 0.5694926676335721 0.525176167245345 0.7606762478208001 0.7303359263979842 0.7008599598587733 0.2907894929606352 0.6996440029886168 0.5744443956108353 0.82238239646054 0.5977233771370808 0.7040536779032801 0.605312120013478 0.18428339120116027 0.7363278102521279 0.7437993524663414 0.7492638333406584 0.5871167172094522 0.5502424588698926 0.5803337288855681 0.6406627697446491 0.6351836387875591 0.6514159305000073 0.4337157004937078 0.6675896218813636 0.7650859227354635 0.6248992806809358 0.7868412956533204 0.6253387831641248 0.6827085073030663 0.5779457653935745 0.6830894094551635 0.6740356583014695 0.5537584787354048 1.0 0.47839845295125916 0.2899397881598031 0.7518129477431548 0.8933034471644765 0.669684583717898 0.7994550169208456 0.6800421922383861 0.6083153869819364 0.41248773055567767 0.7439458532940711 0.7035116248406803 0.7092251571221377 0.668761628503201 0.6299828594031557 0.8864032581784087 0.6779179302363059 0.5561024919790797 0.7243000922955215 0.7789009507903719 0.5981335794547239 0.7512855447633279 0.6150544250575015 0.6788555355337758 0.5453346811409484 0.6811995487774506 0.44049868881759185 0.7405763342562885 0.6123734599100485 0.1716989700991811 0.3359117479013757 0.671017741250238 0.5350356729515522 0.5883033739140625 0.670124086201087 0.5110974377005231 0.46386557084047525 0.6656851111208778 0.6700654858699951 0.76803058937283 0.6481343119588625 0.63114021594222
would 0.44256633951290436 0.6668484187568157 0.21755725190839695 0.39185750636132316 0.6199563794983642 0.6410396219556526 0.638676844783715 0.6826608505997819 0.6101417666303163 0.5903307888040713 0.1401308615049073 0.5717920756088696 0.573973100690658 0.6819338422391857 0.5948745910577972 0.5786986550345329 0.8144311159578336 0.3787713558705925 0.7735368956743003 0.787350054525627 0.5507088331515813 0.7613595056343148 0.7629952744456561 0.5992366412213741 0.6294074881861141 0.574336604870956 0.5181752090149037 0.7288258814976373 0.7161032351872046 0.6966557615412577 0.2831697564521992 0.7031988367866231 0.5819701926572155 0.8287895310796074 0.5970556161395856 0.6992002908033442 0.5945110868774991 0.193202471828426 0.7420937840785169 0.752635405307161 0.7460923300617956 0.6017811704834606 0.5659760087241004 0.5772446383133406 0.6437659033078881 0.628862231915667 0.6457651762995275 0.4411123227917121 0.6537622682660851 0.7722646310432569 0.6219556524900037 0.7928026172300982 0.6245001817520901 0.683206106870229 0.5852417302798982 0.6428571428571429 0.6815703380588877 0.5501635768811342 1.0 0.48636859323882226 0.287168302435478 0.7268266085059978 0.8864049436568521 0.6830243547800801 0.7998909487459106 0.683206106870229 0.5970556161395856 0.4182115594329335 0.7201017811704835 0.6964740094511086 0.7122864412940748 0.673391494002181 0.6183206106870229 0.8940385314431116 0.6968375136314068 0.5537986186841148 0.7039258451472192 0.7815339876408578 0.5917848055252635 0.7430025445292622 0.6068702290076335 0.6908396946564885 0.5505270810614322 0.6837513631406761 0.44438386041439476 0.7509996364958197 0.618684114867321 0.1777535441657579 0.3360596146855689 0.6730279898218829 0.5089058524173028 0.5786986550345329 0.6695747001090513 0.5136314067611778 0.45656125045438023 0.6592148309705561 0.6659396583060705 0.7751726644856416 0.6154125772446384 0.6332242820792439
meet 0.4258443465491924 0.6622613803230544 0.22246696035242292 0.37408223201174745 0.6204111600587372 0.6534508076358297 0.6350954478707782 0.6787812041116006 0.6215124816446402 0.5950807635829662 0.11637298091042585 0.5737885462555066 0.5774596182085169 0.6486784140969163 0.5910425844346548 0.566813509544787 0.8098384728340676 0.3792217327459618 0.8113069016152716 0.7734948604992659 0.5569016152716594 0.7823054331864905 0.7290748898678414 0.6123348017621145 0.6494126284875184 0.565345080763583 0.527165932452276 0.7529368575624081 0.7276064610866373 0.6908957415565345 0.302496328928047 0.6945668135095447 0.5697503671071953 0.8355359765051394 0.5969162995594713 0.6905286343612335 0.604992657856094 0.19126284875183552 0.7331130690161527 0.7518355359765051 0.7481644640234949 0.590675477239354 0.5565345080763583 0.57856093979442 0.6534508076358297 0.631791483113069 0.6637298091042584 0.4353891336270191 0.6651982378854625 0.7698237885462555 0.6277533039647577 0.7947870778267253 0.6244493392070485 0.6817180616740088 0.5737885462555066 0.69640234948605 0.6769456681350954 0.5558002936857562 1.0 0.47650513950073425 0.27276064610866374 0.7338472834067549 0.8942731277533039 0.6259177679882526 0.7852422907488987 0.697136563876652 0.5855359765051394 0.41483113069016153 0.7312775330396476 0.7022760646108663 0.7088839941262849 0.6585903083700441 0.6266519823788547 0.8762848751835536 0.6868575624082232 0.5591042584434656 0.7327459618208517 0.7918502202643172 0.5866372980910426 0.7650513950073421 0.6093979441997064 0.7143906020558003 0.5480910425844346 0.6732745961820852 0.44273127753303965 0.7397209985315711 0.6101321585903083 0.18024963289280468 0.34251101321585903 0.6732745961820852 0.5245961820851689 0.5877386196769456 0.6732745961820852 0.5095447870778268 0.4787077826725404 0.6681350954478708 0.6681350954478708 0.775330396475771 0.6479441997063143 0.630323054331865
a 0.4401023163279807 0.6620820560709718 0.22729856472928803 0.40754988936031994 0.6108325382163665 0.6634219127469093 0.6400150226354574 0.6735418908219818 0.6230029030227978 0.5853651109441929 0.12272884142999249 0.5699973608883656 0.5752552832984835 0.6709027791875597 0.6026918938671106 0.5646176333258897 0.8195558172110681 0.37858056395785544 0.7980978095373434 0.7767007044397978 0.5553807426054123 0.7734221157554965 0.7551005907549889 0.6078178606955074 0.6350717635355976 0.5672364441015856 0.5264824702084898 0.7588359487606325 0.725979008912077 0.7000852636066505 0.2896425018778295 0.7003187234820033 0.571093607259587 0.8219919202582269 0.5991493940193671 0.7025619683712622 0.6028339998781949 0.17710469152845165 0.7357437219594389 0.7426054122089364 0.7474877687326174 0.589567388700542 0.5482145394750197 0.5791022960271219 0.6420349580787267 0.6340262693111919 0.6522462900180678 0.43418461600925723 0.6603361822205079 0.7630483769463449 0.6248807324549828 0.7885361050772448 0.623693132219493 0.683824275766865 0.5763109279522524 0.6824844190909275 0.6676546417913478 0.551604782882316 1.0 0.47718183479161164 0.2860898516007227 0.74990357092105 0.8868328630301061 0.6564993199212327 0.798635782293591 0.6795610954343368 0.6025396374266632 0.4103920095820053 0.7432753405469051 0.6995980429972188 0.7073022188838588 0.6659595200876998 0.629834141984206 0.8803771899551351 0.6770742402403622 0.5561521752370125 0.7299985789398892 0.7748837775837918 0.5991087923019144 0.7520047097992245 0.6125784120668304 0.6823524635092064 0.5435453419679652 0.679946811750137 0.4390771229623013 0.7367689153251183 0.6106701313465559 0.17365354554497656 0.33354310887350536 0.6716945126778863 0.5342272478125825 0.5868470736312146 0.6698471345337909 0.5103432875210621 0.46518402728435415 0.6640106376499726 0.6795813962930631 0.7679205830406626 0.6425018778294322 0.6336202521366654
boy 0.45701849836779107 0.6589771490750816 0.21566920565832426 0.4735582154515778 0.6039173014145811 0.6591947769314471 0.6489662676822633 0.6874863982589771 0.6224156692056583 0.5832426550598476 0.15342763873775844 0.5738846572361262 0.5736670293797607 0.6779107725788901 0.6 0.5889009793253537 0.8119695321001089 0.36953210010881393 0.7710554951033732 0.7751904243743198 0.5464635473340588 0.7708378672470076 0.7516866158868335 0.6006528835690969 0.6195865070729053 0.5786724700761697 0.5247007616974972 0.7410228509249184 0.7229597388465724 0.7011969532100109 0.2792165397170838 0.705114254624592 0.5712731229597389 0.8248095756256801 0.6032644178454842 0.6979325353645266 0.5906420021762785 0.1908596300326442 0.7377584330794341 0.7571273122959739 0.7510337323177367 0.6026115342763874 0.5421109902067465 0.5749727965179543 0.6337323177366703 0.637867247007617 0.6557127312295974 0.43438520130576713 0.6489662676822633 0.7625680087051142 0.6193688792165397 0.7832426550598476 0.6132752992383025 0.6859630032644178 0.5697497279651795 0.6513601741022851 0.6898803046789989 0.555386289445049 1.0 0.49989118607181715 0.30663764961915124 0.7460282916213276 0.8783460282916213 0.7083786724700761 0.8117519042437432 0.6776931447225244 0.602829162132753 0.4232861806311208 0.7416757344940152 0.6931447225244831 0.716866158868335 0.6792165397170838 0.6219804134929271 0.8933623503808488 0.6870511425462459 0.5569096844396083 0.7136017410228509 0.7686615886833514 0.593253536452666 0.7412404787812841 0.6108813928182807 0.6687704026115343 0.5423286180631121 0.6900979325353646 0.4443960826985854 0.7405875952121872 0.6117519042437433 0.1749727965179543 0.3270946681175191 0.6729053318824809 0.5233949945593036 0.5784548422198041 0.6750816104461371 0.5038084874863983 0.43743199129488575 0.6611534276387377 0.6746463547334058 0.7708378672470076 0.637867247007617 0.6300326441784548
hated 0.4519956850053937 0.6472491909385113 0.20280474649406688 0.40560949298813376 0.6073354908306364 0.6170442286947141 0.6386192017259978 0.6850053937432579 0.5954692556634305 0.5868392664509169 0.14670981661272922 0.5706580366774542 0.5598705501618123 0.6903991370010788 0.5836030204962244 0.5922330097087378 0.7939590075512406 0.3818770226537217 0.7713052858683926 0.7745415318230853 0.5372168284789643 0.7529665587918015 0.7540453074433657 0.6019417475728155 0.6116504854368932 0.5857605177993528 0.505933117583603 0.6957928802588996 0.7130528586839266 0.6828478964401294 0.2696871628910464 0.6796116504854369 0.564185544768069 0.8263214670981661 0.5879180151024811 0.6731391585760518 0.5825242718446602 0.2168284789644013 0.7152103559870551 0.7637540453074434 0.7411003236245954 0.5889967637540453 0.5728155339805825 0.5846817691477886 0.627831715210356 0.6256742179072277 0.645091693635383 0.4368932038834951 0.6494066882416397 0.7691477885652643 0.6181229773462783 0.8015102481121898 0.6040992448759439 0.6763754045307443 0.5685005393743258 0.6364617044228694 0.686084142394822 0.5458468176914779 1.0 0.5070118662351673 0.2761596548004315 0.703344120819849 0.8576051779935275 0.6968716289104638 0.7928802588996764 0.6709816612729234 0.5889967637540453 0.40884573894282633 0.6968716289104638 0.6806903991370011 0.7173678532901834 0.6709816612729234 0.6202804746494067 0.895361380798274 0.7152103559870551 0.5501618122977346 0.7076591154261057 0.7766990291262136 0.5749730312837109 0.7292340884573895 0.5825242718446602 0.7076591154261057 0.5501618122977346 0.6936353829557713 0.4261057173678533 0.7421790722761596 0.6062567421790723 0.1779935275080906 0.3441208198489752 0.6709816612729234 0.49406688241639696 0.5631067961165048 0.6634304207119741 0.5102481121898598 0.44228694714131606 0.656957928802589 0.6634304207119741 0.7734627831715211 0.5889967637540453 0.6094929881337648
